hours,op_density,co2_in,hlorophyle,caratin,co2_out,subs_flow,co2_flow,contagion,subs_consumption
0,29,1.5,2.1,0,2.1,12.5,150,4,0.90
2,34,1.5,2.2,0,2.1,12.5,150,4,0.90
4,32,1.5,2.1,0,2.1,12.5,150,4,0.90
6,35,1.5,2,0.4,2,12.5,150,4,0.75
8,35,1.5,2,0.4,2,12.5,150,4,0.75
10,33.5,1.5,2.1,0.5,2.1,12.5,150,4,0.90
13,30.5,1.5,2.1,0.3,2,12.5,150,4,0.75
14,30,1.5,2.1,0.3,2.1,12.5,150,4,0.90
16,27.5,1.5,2.2,0.5,2.2,12.5,150,4,1.05
18,30,1.5,2,0.4,2.2,12.5,150,4,1.05
20,32.3,1.5,2.1,0.8,2.1,12.5,150,4,0.90
22,31.7,1.5,2.3,0.8,2,12.5,150,4,0.75
24,30.5,1.5,2.4,0.9,1.9,12.5,150,4,0.60
26,34.2,1.5,2.4,1,1.8,10,150,4,0.45
28,40,1.5,2.4,1.2,2,10,150,4,0.75
30,46.8,1.5,2.5,1.3,2.2,10,150,4,1.05
32,45.4,1.5,2.4,1.2,2.3,10,150,4,1.20
34,44.2,1.5,2.3,1.3,2.2,10,150,4,1.05
36,46.5,1.5,2.4,1.4,2.4,10,150,4,1.35
38,48.5,1.5,2.2,1.5,2.3,10,150,4,1.20
40,40.5,1.5,2.3,1.5,2.4,10,150,4,1.35
42,42.5,1.5,2.3,1.6,2.4,10,150,4,1.35
44,45.5,1.5,2.3,1.5,2.5,12.5,250,4,2.50
46,43.5,1.5,2.4,1.4,2.5,12.5,250,4,2.50
48,42.5,1.5,2.4,1.4,2.6,12.5,250,4,2.75
50,42.5,1.5,2.4,1.4,2.5,12.5,250,4,2.50
52,42,1.5,2.4,1.5,2.5,12.5,250,4,2.50
54,47.3,1,2.3,1.3,2.6,15,250,4,4.00
56,41,1,2.4,1.5,2.5,15,250,4,3.75
58,39.2,1,2.4,1.7,2.4,12.5,250,4,3.50
60,38,1,2.7,1.3,2.6,12.5,200,4,3.20
62,40.8,1,2.4,1.6,2.4,12.5,250,4,3.50
64,41,2,2.5,1.7,2.4,7,250,4,1.00
66,48.4,2,2.3,1.5,2.5,7,250,4,1.25
68,42.8,2,2.2,1.8,2.4,7,200,4,0.80
70,45.6,2,2.4,1.9,2.4,7,200,4,0.80
72,47.8,2,2.3,1.9,2.3,7,200,4,0.60
74,43.5,2,2.4,2,2.3,7,200,4,0.60
76,55.6,2,2.4,1.9,2.4,7,200,4,0.80
78,58,2,2.4,1.9,2.4,7,200,4,0.80
80,60.3,2,2.2,2,2.4,7,225,4,0.90
82,62.5,2,2.2,2,2.4,7,225,4,0.90
84,63,2,2.2,1.9,2.5,7,225,4,1.13
86,63.5,2,2.3,1.7,2.6,7,200,4,1.20
88,63.5,2,2.3,1.5,2.7,7,200,4,1.40
90,65,2,2.4,1.5,2.7,7,200,4,1.40
92,67.1,2,2.2,1.5,2.2,7,250,4,0.50
94,68.7,2,2.3,1.5,2.2,7,250,4,0.50
96,69.3,2,2.5,1.9,1.8,7,300,7,-0.60
98,70.4,2,2.4,1.8,1.8,7,300,7,-0.60
100,70.4,2,2.4,1.8,1.9,7,300,7,-0.30
102,71.3,2,2.3,1.7,2,7,300,7,0.00
104,71.7,2,2.2,1.7,2,7,300,7,0.00
106,71.9,2,2.2,1.8,2,7,300,7,0.00
108,70.5,2,2.1,1.1,2,7,300,7,0.00
110,67,2,3.3,1.8,1,12.5,600,7,-6.00
112,65,2,3.2,1.8,1,12.5,600,7,-6.00
114,63.5,2,3.3,2,0.9,12.5,600,7,-6.60
116,60,2,3.4,2,0.8,12.5,600,7,-7.20
118,57.5,2,3.3,1.7,1,12.5,600,7,-6.00
120,51,2,3,1.8,0.9,50,700,7,-7.70
122,45.6,2,3.5,1.2,0.7,50,700,7,-9.10
124,43,2,3.5,1.1,0.7,25,700,7,-9.10
126,40.8,2,3.5,1,0.7,25,700,6,-9.10
128,36.9,2,3.5,1,0.6,25,700,6,-9.80
130,31,2,3.5,1.4,1.2,30,600,6,-4.80
132,27.2,2,3.3,1.2,1.1,30,600,6,-5.40
134,24.8,2,2.8,1,1.1,30,600,6,-5.40
136,20.5,2,2.4,1.8,1.3,30,600,6,-4.20
138,18.3,2,2.6,1.3,1.1,9,600,6,-5.40
140,20,2,2.3,1.2,1.4,9,150,6,-0.90
142,34,2,2,1.6,1.7,9,150,6,-0.45
144,29.2,2,2.4,1.2,1.6,9,150,6,-0.60
146,34.8,2,2.6,1.8,1.9,9,150,6,-0.15
148,42.6,2,2.5,1.7,2.1,9,150,6,0.15
150,44,2,2.3,1.9,2.4,9,150,6,0.60
152,46,2,2.4,1.2,1.7,9,400,6,-1.20
154,51.2,2,2.2,1.1,1.7,9,400,6,-1.20
156,56,2,2.2,1.1,1.8,9,400,6,-0.80
158,62.4,2,2.2,1.3,1.7,9,400,6,-1.20
160,60,2,2.2,1.4,1.6,9,400,6,-1.60
162,58.5,2,2.2,1.3,1.6,9,400,6,-1.60
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,48.7,3,2.7,1.1,1.8,12.5,300,4,-3.60
2,55.5,3,2.6,1,1.9,12.5,300,4,-3.30
4,54.5,3,2.5,1.9,2.1,12.5,300,4,-2.70
6,60.2,3,2.5,1.9,2.1,12.5,300,4,-2.70
8,63.9,3,2.4,1.9,2.2,12.5,300,4,-2.40
10,62.5,3,2.5,1.9,2.1,12.5,300,9,-2.70
12,61,3,2.4,1.6,2.2,12.5,300,9,-2.40
14,63.5,3,2.3,1.7,1.9,12.5,300,9,-3.30
16,64,3,2.4,1.5,2.2,12.5,300,9,-2.40
18,65.5,3,2.4,1.5,2.2,12.5,400,7,-3.20
20,64.5,3,2.4,1.2,2.2,19,400,7,-3.20
22,65,3,2.5,1.9,2.3,19,500,7,-3.50
24,65.5,3,2.4,1.5,2.2,19,500,5,-4.00
26,67.5,3,2.3,1.9,2.2,19,500,5,-4.00
28,67.5,3,2.4,1.3,2,31,500,4,-5.00
30,65,3,2.6,1.1,2.1,31,500,4,-4.50
32,65.5,3,2.4,1.9,2,31,500,4,-5.00
34,65,3,2.4,1.8,2.2,31,500,4,-4.00
36,65.5,3,2.2,1.1,1.9,31,500,4,-5.50
38,62.5,3,2.1,1.9,2,31,500,9,-5.00
40,61.5,3,2.2,1.7,1.9,31,500,9,-5.50
42,63,3,2.3,1.9,1.9,31,500,10,-5.50
44,64.5,3,2.2,1,2.1,31,500,10,-4.50
46,65.5,3,2.4,1.9,2,31,500,10,-5.00
48,62.5,3,2.5,1.1,2,31,500,10,-5.00
50,64,3,2.3,1,1.9,31,500,11,-5.50
52,65.5,3,2.4,1.8,2.1,31,500,11,-4.50
54,64.5,3,2.2,1.9,2.1,31,500,11,-4.50
56,65,3,2.2,1,2.1,31,500,11,-4.50
58,63.5,3,2.1,1.8,2.2,31,500,11,-4.00
60,63.5,2,2.2,1.4,1,36,210,9,-2.10
62,63.5,2,2.2,1.8,1.2,36,210,9,-1.68
64,62,2,2.9,1.1,1.2,36,210,9,-1.68
66,62.5,2,2.9,1.2,1.1,36,210,9,-1.89
68,55,2,3,1.8,1,36,210,9,-2.10
70,56.5,2,3.1,1.5,0.9,36,210,9,-2.31
72,50,2,3.2,1.2,0.8,36,210,11,-2.52
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,46.5,2,2.4,0.8,0.5,20,400,11,-6.00
2,42.25,2,2.6,1,0.6,20,400,11,-5.60
4,40.25,2,2.8,1.8,0.7,20,400,9,-5.20
6,40,2,2.2,1.8,0.9,20,400,9,-4.40
8,42,2,2.2,1.6,1.1,20,400,9,-3.60
10,40,2,2.4,1.7,0.9,20,400,11,-4.40
12,37.5,2,2.6,1.9,0.7,20,400,12,-5.20
14,33.5,2,2.8,1,0.7,20,400,12,-5.20
16,33,2,2.8,1.3,1.1,20,400,9,-3.60
18,33,2,2.8,1.6,0.8,20,400,9,-4.80
20,34.5,2,2.9,1.7,0.8,20,400,9,-4.80
22,33.5,2,2.9,1.7,0.8,20,400,9,-4.80
24,35.8,2,2.7,1.6,0.9,20,400,9,-4.40
26,38,2,2.5,1.5,1,20,400,9,-4.00
28,39.5,2,2.5,1.4,1,20,400,9,-4.00
30,42.5,2,2.3,1.2,1.1,20,400,9,-3.60
